"id","id_ministere","id_direction_generale","code","libelle","created_at","updated_at","responsable_id","description","is_active"
"5","2","\N","\N","Service Informatique","2025-09-25 05:02:38.120665","2025-09-25 05:02:38.120665","55","Service Informatique du ministère de l'éducation national","t"
"7","1","\N","\N","DIRECTION DES AFFAIRES ADMINISTRATIVES ET FINANCIÈRES","2025-10-11 18:29:36.091414","2025-10-11 18:29:36.091414","85","\N","t"
"6","1","\N","\N","DIRECTION DES RESSOURCES HUMAINES","2025-09-25 05:04:02.350858","2025-10-16 17:05:18.015454","128","SERVICE COMPTABILITÉ DU MINISTÈE DU TOURISME","t"
"8","1","\N","\N","CABINET","2025-10-27 12:09:02.063072","2025-10-27 12:42:23.775006","\N","\N","t"
"9","1","\N","\N","DG INDUSTRIE TOURISTIQUE ET HOTELIERE","2025-10-27 12:12:49.521939","2025-10-27 12:42:23.775006","\N","\N","t"
"10","1","\N","\N","DIRECTION GENERALE DES LOISIRS","2025-10-27 12:12:49.931626","2025-10-27 12:42:23.775006","\N","\N","t"
"11","1","\N","\N","DIRECTIONS REGIONALES","2025-10-27 12:12:50.1622","2025-10-27 12:42:23.775006","\N","\N","t"
"12","1","\N","\N","BUREAUX DU TOURISME POUR L'ETRANGER","2025-10-27 12:16:23.465511","2025-10-27 12:42:23.775006","\N","\N","t"
"13","1","\N","\N","DIRECT° GENERALE COTE D'IVOIRE TOURISME","2025-10-27 12:16:23.6001","2025-10-27 12:42:23.775006","\N","\N","t"
"14","1","\N","\N","CONSEIL NATIONAL DU TOURISME","2025-10-27 12:16:23.988924","2025-10-27 12:42:23.775006","\N","\N","t"
"15","1","\N","\N","FONDS DE DEVELOPPEMNT TOURISTIQUE","2025-10-27 12:16:24.039719","2025-10-27 12:42:23.775006","\N","\N","t"
"16","1","\N","\N","INSTANCE D'AFFECTATION","2025-10-27 12:16:24.068173","2025-10-27 12:42:23.775006","\N","\N","t"
"17","1","\N","47 05 00 05 00 00","CELLULE DE PASSATION DES MARCHES PUBLICS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"18","1","\N","47 05 05 00 00 00","INSP. GEN. DU TOURISME ET DES LOISIRS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"19","1","\N","47 05 15 00 00 00","DIRECTION DES AFFAIRES FINANCIERES","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"20","1","\N","47 05 20 00 00 00","DIRECTION DU GUICHET UNIQUE","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"21","1","\N","47 05 30 00 00 00","DIR. COMMUNICATION ET DOCUMENTATION","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"22","1","\N","47 05 35 00 00 00","DIR. PLANIFICATION, STATISTIQ & PROJETS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"23","1","\N","47 05 40 00 00 00","DIR. INFORMAT, DIGITAL ET DEV. STARTUPS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"24","1","\N","47 05 45 00 00 00","DIR.  AFFAIRES JURIDIQUES ET CONTENTIEUX","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"25","1","\N","47 05 50 00 00 00","DIR. SECURITE TOURISTIQUE ET DES LOISIRS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"26","1","\N","47 05 50 10 00 00","BRIGARDE TOURISTIQUE ET DES LOISIRS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"27","1","\N","47 05 55 00 00 00","GESTIONNAIRE DU PATRIMOINE","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"28","1","\N","47 10 05 05 00 00","DIRECTION DES ACTIVITES TOURISTIQUES","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"29","1","\N","47 10 05 10 00 00","DIR. COOPERATION ET PROFESSIONNALISATION","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"30","1","\N","47 10 05 15 00 00","DIRECTION DES SERVICES EXTERIEURS","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"31","1","\N","47 10 10 05 00 00","DIR. PARCS DE LOISIRS, ATTRACT, JEUX NUM","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"32","1","\N","47 10 10 10 00 00","DIR. VALOR., FORM. & PROMO JEUX TRADIT","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
"33","1","\N","47 15 05 03 00 00","DIRECTION REGIONALE D'ABIDJAN NORD","2025-11-03 03:12:28.61697","2025-11-03 03:12:28.61697","\N","\N","t"
